x,f(x)
2097,1.349245421882615
2098,1.349187498215584
2099,1.349129540977527
2100,1.349071550131339
2101,1.349013525639857
2102,1.348955467465853
2103,1.348897375572042
2104,1.348839249921077
2105,1.348781090475550
2106,1.348722897197994
2107,1.348664670050877
2108,1.348606408996609
2109,1.348548113997538
2110,1.348489785015950
2111,1.348431422014070
2112,1.348373024954060
2113,1.348314593798021
2114,1.348256128507993
2115,1.348197629045952
2116,1.348139095373812
2117,1.348080527453426
2118,1.348021925246583
2119,1.347963288715009
2120,1.347904617820370
2121,1.347845912524265
2122,1.347787172788233
2123,1.347728398573749
2124,1.347669589842223
2125,1.347610746555004
2126,1.347551868673375
2127,1.347492956158557
2128,1.347434008971707
2129,1.347375027073916
2130,1.347316010426214
2131,1.347256958989562
2132,1.347197872724862
2133,1.347138751592947
2134,1.347079595554588
2135,1.347020404570489
2136,1.346961178601291
2137,1.346901917607568
2138,1.346842621549829
2139,1.346783290388519
2140,1.346723924084015
2141,1.346664522596632
2142,1.346605085886614
2143,1.346545613914142
2144,1.346486106639332
2145,1.346426564022231
2146,1.346366986022820
2147,1.346307372601015
2148,1.346247723716663
2149,1.346188039329546
2150,1.346128319399378
2151,1.346068563885807
2152,1.346008772748410
2153,1.345948945946701
2154,1.345889083440124
2155,1.345829185188055
2156,1.345769251149803
2157,1.345709281284609
2158,1.345649275551644
2159,1.345589233910012
2160,1.345529156318749
2161,1.345469042736821
2162,1.345408893123125
2163,1.345348707436491
2164,1.345288485635677
2165,1.345228227679374
2166,1.345167933526202
2167,1.345107603134713
2168,1.345047236463386
2169,1.344986833470635
2170,1.344926394114798
2171,1.344865918354148
2172,1.344805406146886
2173,1.344744857451140
2174,1.344684272224969
2175,1.344623650426363
2176,1.344562992013238
2177,1.344502296943440
2178,1.344441565174745
2179,1.344380796664854
2180,1.344319991371399
2181,1.344259149251940
2182,1.344198270263965
2183,1.344137354364888
2184,1.344076401512054
2185,1.344015411662732
2186,1.343954384774120
2187,1.343893320803344
2188,1.343832219707456
2189,1.343771081443434
2190,1.343709905968185
2191,1.343648693238540
2192,1.343587443211258
2193,1.343526155843024
2194,1.343464831090450
2195,1.343403468910070
2196,1.343342069258348
2197,1.343280632091673
2198,1.343219157366356
2199,1.343157645038636
2200,1.343096095064678
2201,1.343034507400569
2202,1.342972882002322
2203,1.342911218825875
2204,1.342849517827090
2205,1.342787778961753
2206,1.342726002185574
2207,1.342664187454187
2208,1.342602334723149
2209,1.342540443947942
2210,1.342478515083970
2211,1.342416548086560
2212,1.342354542910963
2213,1.342292499512352
2214,1.342230417845823
2215,1.342168297866394
2216,1.342106139529005
2217,1.342043942788521
2218,1.341981707599724
2219,1.341919433917321
2220,1.341857121695940
2221,1.341794770890131
2222,1.341732381454362
2223,1.341669953343027
2224,1.341607486510437
2225,1.341544980910824
2226,1.341482436498343
2227,1.341419853227066
2228,1.341357231050988
2229,1.341294569924021
2230,1.341231869800000
2231,1.341169130632677
2232,1.341106352375724
2233,1.341043534982732
2234,1.340980678407213
2235,1.340917782602595
2236,1.340854847522226
2237,1.340791873119373
2238,1.340728859347219
2239,1.340665806158867
2240,1.340602713507338
2241,1.340539581345569
2242,1.340476409626417
2243,1.340413198302654
2244,1.340349947326969
2245,1.340286656651971
2246,1.340223326230181
2247,1.340159956014041
2248,1.340096545955907
2249,1.340033096008051
2250,1.339969606122662
2251,1.339906076251844
2252,1.339842506347616
2253,1.339778896361915
2254,1.339715246246589
2255,1.339651555953405
2256,1.339587825434041
2257,1.339524054640094
2258,1.339460243523072
2259,1.339396392034397
2260,1.339332500125407
2261,1.339268567747353
2262,1.339204594851400
2263,1.339140581388623
2264,1.339076527310015
2265,1.339012432566480
2266,1.338948297108833
2267,1.338884120887804
2268,1.338819903854035
2269,1.338755645958079
2270,1.338691347150402
2271,1.338627007381380
2272,1.338562626601302
2273,1.338498204760369
2274,1.338433741808692
2275,1.338369237696292
2276,1.338304692373103
2277,1.338240105788966
2278,1.338175477893637
2279,1.338110808636778
2280,1.338046097967962
2281,1.337981345836672
2282,1.337916552192301
2283,1.337851716984150
2284,1.337786840161430
2285,1.337721921673259
2286,1.337656961468666
2287,1.337591959496586
2288,1.337526915705864
2289,1.337461830045252
2290,1.337396702463409
2291,1.337331532908902
2292,1.337266321330206
2293,1.337201067675703
2294,1.337135771893680
2295,1.337070433932333
2296,1.337005053739762
2297,1.336939631263975
2298,1.336874166452884
2299,1.336808659254309
2300,1.336743109615973
2301,1.336677517485507
2302,1.336611882810445
2303,1.336546205538225
2304,1.336480485616192
2305,1.336414722991594
2306,1.336348917611583
2307,1.336283069423214
2308,1.336217178373448
2309,1.336151244409147
2310,1.336085267477078
2311,1.336019247523910
2312,1.335953184496214
2313,1.335887078340464
2314,1.335820929003038
2315,1.335754736430213
2316,1.335688500568170
2317,1.335622221362990
2318,1.335555898760656
2319,1.335489532707053
2320,1.335423123147965
2321,1.335356670029077
2322,1.335290173295975
2323,1.335223632894146
2324,1.335157048768973
2325,1.335090420865743
2326,1.335023749129640
2327,1.334957033505748
2328,1.334890273939049
2329,1.334823470374424
2330,1.334756622756652
2331,1.334689731030412
2332,1.334622795140278
2333,1.334555815030724
2334,1.334488790646120
2335,1.334421721930733
2336,1.334354608828728
2337,1.334287451284167
2338,1.334220249241005
2339,1.334153002643098
2340,1.334085711434194
2341,1.334018375557938
2342,1.333950994957870
2343,1.333883569577426
2344,1.333816099359937
2345,1.333748584248627
2346,1.333681024186614
2347,1.333613419116913
2348,1.333545768982430
2349,1.333478073725967
2350,1.333410333290215
2351,1.333342547617763
2352,1.333274716651091
2353,1.333206840332569
2354,1.333138918604463
2355,1.333070951408928
2356,1.333002938688013
2357,1.332934880383657
2358,1.332866776437690
2359,1.332798626791834
2360,1.332730431387700
2361,1.332662190166792
2362,1.332593903070501
2363,1.332525570040110
2364,1.332457191016791
2365,1.332388765941604
2366,1.332320294755499
2367,1.332251777399315
2368,1.332183213813779
2369,1.332114603939507
2370,1.332045947717001
2371,1.331977245086652
2372,1.331908495988738
2373,1.331839700363424
2374,1.331770858150762
2375,1.331701969290690
2376,1.331633033723033
2377,1.331564051387501
2378,1.331495022223689
2379,1.331425946171079
2380,1.331356823169038
2381,1.331287653156815
2382,1.331218436073548
2383,1.331149171858255
2384,1.331079860449839
2385,1.331010501787089
2386,1.330941095808674
2387,1.330871642453147
2388,1.330802141658946
2389,1.330732593364388
2390,1.330662997507674
2391,1.330593354026887
2392,1.330523662859990
2393,1.330453923944828
2394,1.330384137219129
2395,1.330314302620498
2396,1.330244420086422
2397,1.330174489554270
2398,1.330104510961286
2399,1.330034484244598
2400,1.329964409341211
2401,1.329894286188009
2402,1.329824114721755
2403,1.329753894879089
2404,1.329683626596529
2405,1.329613309810473
2406,1.329542944457193
2407,1.329472530472840
2408,1.329402067793441
2409,1.329331556354899
2410,1.329260996092993
2411,1.329190386943379
2412,1.329119728841586
2413,1.329049021723020
2414,1.328978265522961
2415,1.328907460176564
2416,1.328836605618856
2417,1.328765701784741
2418,1.328694748608994
2419,1.328623746026264
2420,1.328552693971072
2421,1.328481592377812
2422,1.328410441180752
2423,1.328339240314028
2424,1.328267989711650
2425,1.328196689307500
2426,1.328125339035327
2427,1.328053938828754
2428,1.327982488621274
2429,1.327910988346247
2430,1.327839437936906
2431,1.327767837326350
2432,1.327696186447549
2433,1.327624485233340
2434,1.327552733616430
2435,1.327480931529392
2436,1.327409078904666
2437,1.327337175674561
2438,1.327265221771252
2439,1.327193217126780
2440,1.327121161673051
2441,1.327049055341840
2442,1.326976898064784
2443,1.326904689773387
2444,1.326832430399016
2445,1.326760119872904
2446,1.326687758126146
2447,1.326615345089704
2448,1.326542880694399
2449,1.326470364870917
2450,1.326397797549808
2451,1.326325178661480
2452,1.326252508136208
2453,1.326179785904123
2454,1.326107011895223
2455,1.326034186039360
2456,1.325961308266252
2457,1.325888378505475
2458,1.325815396686463
2459,1.325742362738512
2460,1.325669276590775
2461,1.325596138172264
2462,1.325522947411849
2463,1.325449704238258
2464,1.325376408580077
2465,1.325303060365746
2466,1.325229659523566
2467,1.325156205981692
2468,1.325082699668134
2469,1.325009140510758
2470,1.324935528437287
2471,1.324861863375297
2472,1.324788145252217
2473,1.324714373995333
2474,1.324640549531783
2475,1.324566671788557
2476,1.324492740692500
2477,1.324418756170308
2478,1.324344718148530
2479,1.324270626553565
2480,1.324196481311665
2481,1.324122282348930
2482,1.324048029591315
2483,1.323973722964620
2484,1.323899362394499
2485,1.323824947806451
2486,1.323750479125827
2487,1.323675956277826
2488,1.323601379187493
2489,1.323526747779722
2490,1.323452061979255
2491,1.323377321710679
2492,1.323302526898429
2493,1.323227677466784
2494,1.323152773339870
2495,1.323077814441658
2496,1.323002800695962
2497,1.322927732026444
2498,1.322852608356606
2499,1.322777429609795
2500,1.322702195709201
2501,1.322626906577857
2502,1.322551562138637
2503,1.322476162314258
2504,1.322400707027277
2505,1.322325196200094
2506,1.322249629754946
2507,1.322174007613913
2508,1.322098329698914
2509,1.322022595931707
2510,1.321946806233887
2511,1.321870960526890
2512,1.321795058731987
2513,1.321719100770290
2514,1.321643086562744
2515,1.321567016030133
2516,1.321490889093077
2517,1.321414705672030
2518,1.321338465687282
2519,1.321262169058959
2520,1.321185815707019
2521,1.321109405551255
2522,1.321032938511294
2523,1.320956414506594
2524,1.320879833456447
2525,1.320803195279976
2526,1.320726499896137
2527,1.320649747223715
2528,1.320572937181328
2529,1.320496069687420
2530,1.320419144660270
2531,1.320342162017982
2532,1.320265121678491
2533,1.320188023559559
2534,1.320110867578776
2535,1.320033653653561
2536,1.319956381701156
2537,1.319879051638632
2538,1.319801663382887
2539,1.319724216850641
2540,1.319646711958442
2541,1.319569148622661
2542,1.319491526759491
2543,1.319413846284953
2544,1.319336107114887
2545,1.319258309164956
2546,1.319180452350647
2547,1.319102536587267
2548,1.319024561789943
2549,1.318946527873624
2550,1.318868434753078
2551,1.318790282342894
2552,1.318712070557478
2553,1.318633799311055
2554,1.318555468517669
2555,1.318477078091180
2556,1.318398627945265
2557,1.318320117993418
2558,1.318241548148950
2559,1.318162918324984
2560,1.318084228434462
2561,1.318005478390136
2562,1.317926668104576
2563,1.317847797490162
2564,1.317768866459089
2565,1.317689874923362
2566,1.317610822794800
2567,1.317531709985032
2568,1.317452536405497
2569,1.317373301967445
2570,1.317294006581936
2571,1.317214650159838
2572,1.317135232611827
2573,1.317055753848388
2574,1.316976213779814
2575,1.316896612316204
2576,1.316816949367462
2577,1.316737224843299
2578,1.316657438653233
2579,1.316577590706583
2580,1.316497680912474
2581,1.316417709179835
2582,1.316337675417397
2583,1.316257579533694
2584,1.316177421437062
2585,1.316097201035636
2586,1.316016918237356
2587,1.315936572949957
2588,1.315856165080978
2589,1.315775694537754
2590,1.315695161227421
2591,1.315614565056910
2592,1.315533905932951
2593,1.315453183762071
2594,1.315372398450591
2595,1.315291549904630
2596,1.315210638030100
2597,1.315129662732708
2598,1.315048623917956
2599,1.314967521491136
2600,1.314886355357336
2601,1.314805125421433
2602,1.314723831588098
2603,1.314642473761791
2604,1.314561051846761
2605,1.314479565747049
2606,1.314398015366485
2607,1.314316400608684
2608,1.314234721377053
2609,1.314152977574782
2610,1.314071169104850
2611,1.313989295870021
2612,1.313907357772845
2613,1.313825354715655
2614,1.313743286600569
2615,1.313661153329488
2616,1.313578954804096
2617,1.313496690925859
2618,1.313414361596023
2619,1.313331966715617
2620,1.313249506185449
2621,1.313166979906106
2622,1.313084387777955
2623,1.313001729701140
2624,1.312919005575584
2625,1.312836215300984
2626,1.312753358776817
2627,1.312670435902332
2628,1.312587446576557
2629,1.312504390698289
2630,1.312421268166103
2631,1.312338078878345
2632,1.312254822733134
2633,1.312171499628359
2634,1.312088109461681
2635,1.312004652130532
2636,1.311921127532113
2637,1.311837535563392
2638,1.311753876121107
2639,1.311670149101764
2640,1.311586354401634
2641,1.311502491916756
2642,1.311418561542932
2643,1.311334563175731
2644,1.311250496710484
2645,1.311166362042288
2646,1.311082159066000
2647,1.310997887676239
2648,1.310913547767387
2649,1.310829139233584
2650,1.310744661968733
2651,1.310660115866492
2652,1.310575500820282
2653,1.310490816723276
2654,1.310406063468408
2655,1.310321240948368
2656,1.310236349055598
2657,1.310151387682299
2658,1.310066356720422
2659,1.309981256061674
2660,1.309896085597514
2661,1.309810845219150
2662,1.309725534817544
2663,1.309640154283408
2664,1.309554703507201
2665,1.309469182379132
2666,1.309383590789160
2667,1.309297928626987
2668,1.309212195782065
2669,1.309126392143589
2670,1.309040517600500
2671,1.308954572041485
2672,1.308868555354970
2673,1.308782467429126
2674,1.308696308151867
2675,1.308610077410845
2676,1.308523775093453
2677,1.308437401086826
2678,1.308350955277833
2679,1.308264437553084
2680,1.308177847798926
2681,1.308091185901440
2682,1.308004451746444
2683,1.307917645219489
2684,1.307830766205862
2685,1.307743814590582
2686,1.307656790258398
2687,1.307569693093793
2688,1.307482522980979
2689,1.307395279803899
2690,1.307307963446222
2691,1.307220573791347
2692,1.307133110722400
2693,1.307045574122233
2694,1.306957963873423
2695,1.306870279858272
2696,1.306782521958805
2697,1.306694690056772
2698,1.306606784033641
2699,1.306518803770604
2700,1.306430749148574
2701,1.306342620048181
2702,1.306254416349775
2703,1.306166137933423
2704,1.306077784678908
2705,1.305989356465731
2706,1.305900853173107
2707,1.305812274679964
2708,1.305723620864945
2709,1.305634891606403
2710,1.305546086782404
2711,1.305457206270726
2712,1.305368249948854
2713,1.305279217693982
2714,1.305190109383012
2715,1.305100924892555
2716,1.305011664098925
2717,1.304922326878142
2718,1.304832913105930
2719,1.304743422657718
2720,1.304653855408634
2721,1.304564211233510
2722,1.304474490006876
2723,1.304384691602964
2724,1.304294815895703
2725,1.304204862758718
2726,1.304114832065334
2727,1.304024723688568
2728,1.303934537501135
2729,1.303844273375441
2730,1.303753931183585
2731,1.303663510797360
2732,1.303573012088246
2733,1.303482434927415
2734,1.303391779185729
2735,1.303301044733736
2736,1.303210231441669
2737,1.303119339179450
2738,1.303028367816685
2739,1.302937317222662
2740,1.302846187266354
2741,1.302754977816413
2742,1.302663688741176
2743,1.302572319908654
2744,1.302480871186541
2745,1.302389342442208
2746,1.302297733542701
2747,1.302206044354742
