Iteration,log_10 Error
821.000000,1.641269
822.000000,1.640263
823.000000,1.639670
824.000000,1.639042
825.000000,1.638410
826.000000,1.637823
827.000000,1.637150
828.000000,1.636601
829.000000,1.635889
830.000000,1.635374
831.000000,1.634625
832.000000,1.634137
833.000000,1.633359
834.000000,1.632887
835.000000,1.632088
836.000000,1.631623
837.000000,1.630814
838.000000,1.630342
839.000000,1.629536
840.000000,1.629047
841.000000,1.628255
842.000000,1.627738
843.000000,1.626971
844.000000,1.626419
845.000000,1.625685
846.000000,1.625094
847.000000,1.624398
848.000000,1.623765
849.000000,1.623110
850.000000,1.622438
851.000000,1.621824
852.000000,1.621279
853.000000,1.619898
854.000000,1.619275
855.000000,1.618700
856.000000,1.617332
857.000000,1.617075
858.000000,1.615985
859.000000,1.615535
860.000000,1.614657
861.000000,1.614069
862.000000,1.613346
863.000000,1.613072
864.000000,1.611419
865.000000,1.610776
866.000000,1.610046
867.000000,1.608778
868.000000,1.608324
869.000000,1.607426
870.000000,1.606789
871.000000,1.606108
872.000000,1.605401
873.000000,1.604096
874.000000,1.603598
875.000000,1.602738
876.000000,1.602055
877.000000,1.601720
878.000000,1.600647
879.000000,1.600027
880.000000,1.599312
881.000000,1.598529
882.000000,1.597271
883.000000,1.596682
884.000000,1.595918
885.000000,1.595182
886.000000,1.593871
887.000000,1.593266
888.000000,1.592515
889.000000,1.591650
890.000000,1.590449
891.000000,1.589789
892.000000,1.589465
893.000000,1.588314
894.000000,1.587628
895.000000,1.587223
896.000000,1.586174
897.000000,1.585779
898.000000,1.584116
899.000000,1.583502
900.000000,1.582739
901.000000,1.581674
902.000000,1.580641
903.000000,1.580004
904.000000,1.578555
905.000000,1.577862
906.000000,1.577404
907.000000,1.576386
908.000000,1.575585
909.000000,1.574284
910.000000,1.573820
911.000000,1.572184
912.000000,1.571476
913.000000,1.570961
914.000000,1.570002
915.000000,1.568953
916.000000,1.567884
917.000000,1.566912
918.000000,1.565764
919.000000,1.564820
920.000000,1.563639
921.000000,1.562671
922.000000,1.561511
923.000000,1.560469
924.000000,1.559381
925.000000,1.558901
926.000000,1.555660
927.000000,1.554964
928.000000,1.554425
929.000000,1.553420
930.000000,1.552057
931.000000,1.549649
932.000000,1.549058
933.000000,1.547486
934.000000,1.546371
935.000000,1.545340
936.000000,1.543471
937.000000,1.541539
938.000000,1.540430
939.000000,1.539387
940.000000,1.537984
941.000000,1.532240
942.000000,1.531878
943.000000,1.530028
944.000000,1.528368
945.000000,1.526202
946.000000,1.524525
947.000000,1.522371
948.000000,1.520334
949.000000,1.518537
950.000000,1.515570
951.000000,1.511306
952.000000,1.509308
953.000000,1.507462
954.000000,1.500808
955.000000,1.493350
956.000000,1.488184
957.000000,1.465360
958.000000,1.463852
959.000000,1.462550
960.000000,1.461341
961.000000,1.460209
962.000000,1.459140
963.000000,1.458123
964.000000,1.457146
965.000000,1.456202
966.000000,1.455283
967.000000,1.454654
968.000000,1.453418
969.000000,1.452296
970.000000,1.451255
971.000000,1.450274
972.000000,1.449335
973.000000,1.448661
974.000000,1.447379
975.000000,1.446246
976.000000,1.445214
977.000000,1.444248
978.000000,1.443606
979.000000,1.442257
980.000000,1.441102
981.000000,1.440068
982.000000,1.439110
983.000000,1.438213
984.000000,1.436944
985.000000,1.435856
986.000000,1.434872
987.000000,1.434003
988.000000,1.432686
989.000000,1.431585
990.000000,1.430603
991.000000,1.429603
992.000000,1.428332
993.000000,1.427269
994.000000,1.426554
995.000000,1.425080
996.000000,1.423929
997.000000,1.423459
998.000000,1.421791
999.000000,1.420565
1000.000000,1.419545
1001.000000,1.418444
1002.000000,1.417174
1003.000000,1.416143
1004.000000,1.415007
1005.000000,1.413744
1006.000000,1.413215
1007.000000,1.411481
1008.000000,1.410281
1009.000000,1.409464
1010.000000,1.407921
1011.000000,1.406811
1012.000000,1.405695
1013.000000,1.404370
1014.000000,1.403645
1015.000000,1.401979
1016.000000,1.400850
1017.000000,1.399661
1018.000000,1.398370
1019.000000,1.397409
1020.000000,1.395904
1021.000000,1.395208
1022.000000,1.393445
1023.000000,1.393029
1024.000000,1.390983
1025.000000,1.389790
1026.000000,1.388520
1027.000000,1.387259
1028.000000,1.386030
1029.000000,1.384719
1030.000000,1.383504
1031.000000,1.382168
1032.000000,1.380935
1033.000000,1.379607
1034.000000,1.378328
1035.000000,1.377039
1036.000000,1.376535
1037.000000,1.373290
1038.000000,1.371935
1039.000000,1.371389
1040.000000,1.368118
1041.000000,1.366803
1042.000000,1.365644
1043.000000,1.362847
1044.000000,1.362082
1045.000000,1.360109
1046.000000,1.358898
1047.000000,1.357450
1048.000000,1.356202
1049.000000,1.353408
1050.000000,1.352365
1051.000000,1.350666
1052.000000,1.349718
1053.000000,1.346596
1054.000000,1.345486
1055.000000,1.343832
1056.000000,1.342284
1057.000000,1.339679
1058.000000,1.338323
1059.000000,1.337518
1060.000000,1.335358
1061.000000,1.334217
1062.000000,1.331170
1063.000000,1.329769
1064.000000,1.328786
1065.000000,1.326807
1066.000000,1.324836
1067.000000,1.322564
1068.000000,1.320699
1069.000000,1.318305
1070.000000,1.316317
1071.000000,1.314034
