Iteration,Log Error
338.0000,-13.5975886074998247
339.0000,-13.5994625454150313
340.0000,-13.6020331002031831
341.0000,-13.6202505891354129
342.0000,-13.6373731490418191
343.0000,-13.6586797993188576
344.0000,-13.6708296967184531
345.0000,-13.6727060333403365
346.0000,-13.6761318338000954
347.0000,-13.6769263444522782
348.0000,-13.6793134827085687
349.0000,-13.6819338426246997
350.0000,-13.6868267878688119
351.0000,-13.7138335147419266
352.0000,-13.7768610639840610
353.0000,-13.9923368793438136
354.0000,-14.3414782548322037
355.0000,-14.3871411693891567
356.0000,-14.3968076455741407
357.0000,-14.4566918998036460
358.0000,-14.4655979833269495
359.0000,-14.4731665376932011
360.0000,-14.4741250174351617
361.0000,-14.4757176643832590
362.0000,-14.4773364622154723
363.0000,-14.4840597364293231
364.0000,-14.5079755917633157
365.0000,-14.5580187852950456
366.0000,-14.6106627686553185
367.0000,-14.7257508489449283
368.0000,-14.8630022287820349
369.0000,-15.0053148149827589
370.0000,-15.2604264233503724
371.0000,-15.4996825899578266
372.0000,-15.8108963739512607
373.0000,-15.9979950239173228
374.0000,-16.0806672500014010
375.0000,-16.1068747320381931
376.0000,-16.1172966680995167
